environment,method,planner_name,solved,valid_replay,plan_length,expanded,generated,grounded_actions,time_ms,raw_stdout,raw_stderr,plan_txt,metrics_json,trace_json,search_profile_json,plan_panel,plan_animation,blockworld_3d_panel,blockworld_3d_animation,fire_3d_panel,fire_3d_animation,robot_task_3d_panel,robot_task_3d_animation
BlocksTriangleTwinTowers.txt,strong,A Star Search [delete-relaxation-hadd],True,True,11,11,167,810,160.895,outputs/runs/BlocksTriangleTwinTowers/strong/stdout.txt,outputs/runs/BlocksTriangleTwinTowers/strong/stderr.txt,outputs/runs/BlocksTriangleTwinTowers/strong/plan.txt,outputs/runs/BlocksTriangleTwinTowers/strong/metrics.json,outputs/runs/BlocksTriangleTwinTowers/strong/trace.json,outputs/runs/BlocksTriangleTwinTowers/strong/search_profile.json,outputs/visualizations/BlocksTriangleTwinTowers/strong/plan_panel.png,outputs/visualizations/BlocksTriangleTwinTowers/strong/plan_animation.gif,outputs/visualizations/BlocksTriangleTwinTowers/strong/blockworld_3d_panel.png,outputs/visualizations/BlocksTriangleTwinTowers/strong/blockworld_3d_animation.gif,,,,
BlocksTriangleTwinTowers.txt,weighted_ff,"Weighted A Star Search [w=5, delete-relaxation-relaxed-plan]",True,True,16,435,3783,810,2564.6,outputs/runs/BlocksTriangleTwinTowers/weighted_ff/stdout.txt,outputs/runs/BlocksTriangleTwinTowers/weighted_ff/stderr.txt,outputs/runs/BlocksTriangleTwinTowers/weighted_ff/plan.txt,outputs/runs/BlocksTriangleTwinTowers/weighted_ff/metrics.json,outputs/runs/BlocksTriangleTwinTowers/weighted_ff/trace.json,outputs/runs/BlocksTriangleTwinTowers/weighted_ff/search_profile.json,outputs/visualizations/BlocksTriangleTwinTowers/weighted_ff/plan_panel.png,outputs/visualizations/BlocksTriangleTwinTowers/weighted_ff/plan_animation.gif,outputs/visualizations/BlocksTriangleTwinTowers/weighted_ff/blockworld_3d_panel.png,outputs/visualizations/BlocksTriangleTwinTowers/weighted_ff/blockworld_3d_animation.gif,,,,
BlocksTriangleTwinTowers.txt,greedy_ff,Greedy Best First Search [delete-relaxation-relaxed-plan],True,True,16,317,3007,810,4151.12,outputs/runs/BlocksTriangleTwinTowers/greedy_ff/stdout.txt,outputs/runs/BlocksTriangleTwinTowers/greedy_ff/stderr.txt,outputs/runs/BlocksTriangleTwinTowers/greedy_ff/plan.txt,outputs/runs/BlocksTriangleTwinTowers/greedy_ff/metrics.json,outputs/runs/BlocksTriangleTwinTowers/greedy_ff/trace.json,outputs/runs/BlocksTriangleTwinTowers/greedy_ff/search_profile.json,outputs/visualizations/BlocksTriangleTwinTowers/greedy_ff/plan_panel.png,outputs/visualizations/BlocksTriangleTwinTowers/greedy_ff/plan_animation.gif,outputs/visualizations/BlocksTriangleTwinTowers/greedy_ff/blockworld_3d_panel.png,outputs/visualizations/BlocksTriangleTwinTowers/greedy_ff/blockworld_3d_animation.gif,,,,
FireExtinguisher.txt,bfs,Breadth First Search,True,True,21,336,379,225,19.7243,outputs/runs/FireExtinguisher/bfs/stdout.txt,outputs/runs/FireExtinguisher/bfs/stderr.txt,outputs/runs/FireExtinguisher/bfs/plan.txt,outputs/runs/FireExtinguisher/bfs/metrics.json,outputs/runs/FireExtinguisher/bfs/trace.json,outputs/runs/FireExtinguisher/bfs/search_profile.json,outputs/visualizations/FireExtinguisher/bfs/plan_panel.png,outputs/visualizations/FireExtinguisher/bfs/plan_animation.gif,,,outputs/visualizations/FireExtinguisher/bfs/fire_3d_panel.png,outputs/visualizations/FireExtinguisher/bfs/fire_3d_animation.gif,,
FireExtinguisher.txt,astar,A Star Search [delete-relaxation-relaxed-plan],True,True,21,264,290,225,219.772,outputs/runs/FireExtinguisher/astar/stdout.txt,outputs/runs/FireExtinguisher/astar/stderr.txt,outputs/runs/FireExtinguisher/astar/plan.txt,outputs/runs/FireExtinguisher/astar/metrics.json,outputs/runs/FireExtinguisher/astar/trace.json,outputs/runs/FireExtinguisher/astar/search_profile.json,outputs/visualizations/FireExtinguisher/astar/plan_panel.png,outputs/visualizations/FireExtinguisher/astar/plan_animation.gif,,,outputs/visualizations/FireExtinguisher/astar/fire_3d_panel.png,outputs/visualizations/FireExtinguisher/astar/fire_3d_animation.gif,,
FireExtinguisher.txt,astar_goal,A Star Search [unsatisfied-goals],True,True,21,336,379,225,44.0093,outputs/runs/FireExtinguisher/astar_goal/stdout.txt,outputs/runs/FireExtinguisher/astar_goal/stderr.txt,outputs/runs/FireExtinguisher/astar_goal/plan.txt,outputs/runs/FireExtinguisher/astar_goal/metrics.json,outputs/runs/FireExtinguisher/astar_goal/trace.json,outputs/runs/FireExtinguisher/astar_goal/search_profile.json,outputs/visualizations/FireExtinguisher/astar_goal/plan_panel.png,outputs/visualizations/FireExtinguisher/astar_goal/plan_animation.gif,,,outputs/visualizations/FireExtinguisher/astar_goal/fire_3d_panel.png,outputs/visualizations/FireExtinguisher/astar_goal/fire_3d_animation.gif,,
FireExtinguisher.txt,astar_hadd,A Star Search [delete-relaxation-hadd],True,True,21,107,219,225,140.278,outputs/runs/FireExtinguisher/astar_hadd/stdout.txt,outputs/runs/FireExtinguisher/astar_hadd/stderr.txt,outputs/runs/FireExtinguisher/astar_hadd/plan.txt,outputs/runs/FireExtinguisher/astar_hadd/metrics.json,outputs/runs/FireExtinguisher/astar_hadd/trace.json,outputs/runs/FireExtinguisher/astar_hadd/search_profile.json,outputs/visualizations/FireExtinguisher/astar_hadd/plan_panel.png,outputs/visualizations/FireExtinguisher/astar_hadd/plan_animation.gif,,,outputs/visualizations/FireExtinguisher/astar_hadd/fire_3d_panel.png,outputs/visualizations/FireExtinguisher/astar_hadd/fire_3d_animation.gif,,
FireExtinguisher.txt,optimal,A Star Search [delete-relaxation-hmax],True,True,21,275,301,225,217.728,outputs/runs/FireExtinguisher/optimal/stdout.txt,outputs/runs/FireExtinguisher/optimal/stderr.txt,outputs/runs/FireExtinguisher/optimal/plan.txt,outputs/runs/FireExtinguisher/optimal/metrics.json,outputs/runs/FireExtinguisher/optimal/trace.json,outputs/runs/FireExtinguisher/optimal/search_profile.json,outputs/visualizations/FireExtinguisher/optimal/plan_panel.png,outputs/visualizations/FireExtinguisher/optimal/plan_animation.gif,,,outputs/visualizations/FireExtinguisher/optimal/fire_3d_panel.png,outputs/visualizations/FireExtinguisher/optimal/fire_3d_animation.gif,,
FireExtinguisher.txt,strong,A Star Search [delete-relaxation-hadd],True,True,21,107,219,225,71.61,outputs/runs/FireExtinguisher/strong/stdout.txt,outputs/runs/FireExtinguisher/strong/stderr.txt,outputs/runs/FireExtinguisher/strong/plan.txt,outputs/runs/FireExtinguisher/strong/metrics.json,outputs/runs/FireExtinguisher/strong/trace.json,outputs/runs/FireExtinguisher/strong/search_profile.json,outputs/visualizations/FireExtinguisher/strong/plan_panel.png,outputs/visualizations/FireExtinguisher/strong/plan_animation.gif,,,outputs/visualizations/FireExtinguisher/strong/fire_3d_panel.png,outputs/visualizations/FireExtinguisher/strong/fire_3d_animation.gif,,
FireExtinguisher.txt,weighted_ff,"Weighted A Star Search [w=5, delete-relaxation-relaxed-plan]",True,True,21,264,290,225,225.512,outputs/runs/FireExtinguisher/weighted_ff/stdout.txt,outputs/runs/FireExtinguisher/weighted_ff/stderr.txt,outputs/runs/FireExtinguisher/weighted_ff/plan.txt,outputs/runs/FireExtinguisher/weighted_ff/metrics.json,outputs/runs/FireExtinguisher/weighted_ff/trace.json,outputs/runs/FireExtinguisher/weighted_ff/search_profile.json,outputs/visualizations/FireExtinguisher/weighted_ff/plan_panel.png,outputs/visualizations/FireExtinguisher/weighted_ff/plan_animation.gif,,,outputs/visualizations/FireExtinguisher/weighted_ff/fire_3d_panel.png,outputs/visualizations/FireExtinguisher/weighted_ff/fire_3d_animation.gif,,
